name,path,size,file_or_dir
.git,C:\Users\User\Desktop\1,24185,directory
DZ1,C:\Users\User\Desktop\1,3295,directory
DZ2,C:\Users\User\Desktop\1,2043,directory
DZ3,C:\Users\User\Desktop\1,4907,directory
DZ4,C:\Users\User\Desktop\1,4914,directory
DZ5,C:\Users\User\Desktop\1,1649,directory
DZ6,C:\Users\User\Desktop\1,2852,directory
DZ7,C:\Users\User\Desktop\1,11432,directory
DZ8,C:\Users\User\Desktop\1,2876,directory
dir_info.csv,C:\Users\User\Desktop\1,2498,file
dir_info.json,C:\Users\User\Desktop\1,4653,file
dir_info.pickle,C:\Users\User\Desktop\1,3426,file
hooks,C:\Users\User\Desktop\1\.git,23513,directory
info,C:\Users\User\Desktop\1\.git,240,directory
objects,C:\Users\User\Desktop\1\.git,15,directory
refs,C:\Users\User\Desktop\1\.git,0,directory
COMMIT_EDITMSG,C:\Users\User\Desktop\1\.git,13,file
config,C:\Users\User\Desktop\1\.git,243,file
description,C:\Users\User\Desktop\1\.git,73,file
HEAD,C:\Users\User\Desktop\1\.git,23,file
index,C:\Users\User\Desktop\1\.git,65,file
applypatch-msg.sample,C:\Users\User\Desktop\1\.git\hooks,478,file
commit-msg.sample,C:\Users\User\Desktop\1\.git\hooks,896,file
fsmonitor-watchman.sample,C:\Users\User\Desktop\1\.git\hooks,4726,file
post-update.sample,C:\Users\User\Desktop\1\.git\hooks,189,file
pre-applypatch.sample,C:\Users\User\Desktop\1\.git\hooks,424,file
pre-commit.sample,C:\Users\User\Desktop\1\.git\hooks,1643,file
pre-merge-commit.sample,C:\Users\User\Desktop\1\.git\hooks,416,file
pre-push.sample,C:\Users\User\Desktop\1\.git\hooks,1374,file
pre-rebase.sample,C:\Users\User\Desktop\1\.git\hooks,4898,file
pre-receive.sample,C:\Users\User\Desktop\1\.git\hooks,544,file
prepare-commit-msg.sample,C:\Users\User\Desktop\1\.git\hooks,1492,file
push-to-checkout.sample,C:\Users\User\Desktop\1\.git\hooks,2783,file
update.sample,C:\Users\User\Desktop\1\.git\hooks,3650,file
exclude,C:\Users\User\Desktop\1\.git\info,240,file
4b,C:\Users\User\Desktop\1\.git\objects,15,directory
info,C:\Users\User\Desktop\1\.git\objects,0,directory
pack,C:\Users\User\Desktop\1\.git\objects,0,directory
825dc642cb6eb9a060e54bf8d69288fbee4904,C:\Users\User\Desktop\1\.git\objects\4b,15,file
heads,C:\Users\User\Desktop\1\.git\refs,0,directory
tags,C:\Users\User\Desktop\1\.git\refs,0,directory
tasks.py,C:\Users\User\Desktop\1\DZ1,3295,file
tasks.py,C:\Users\User\Desktop\1\DZ2,2043,file
tasks.py,C:\Users\User\Desktop\1\DZ3,4907,file
tasks.py,C:\Users\User\Desktop\1\DZ4,4914,file
tasks.py,C:\Users\User\Desktop\1\DZ5,1649,file
tasks.py,C:\Users\User\Desktop\1\DZ6,2852,file
1.py,C:\Users\User\Desktop\1\DZ7,11374,file
ff.md,C:\Users\User\Desktop\1\DZ7,0,file
oo001.cvc,C:\Users\User\Desktop\1\DZ7,58,file
tasks.py,C:\Users\User\Desktop\1\DZ8,2876,file
